iso_3166_2,Population_Millions,Population_Density,Literacy_Rate,Sex_Ratio,GDP_Per_Capita_USD,Urbanization_Pct,Poverty_Rate,Infant_Mortality_Rate,HDI,Life_Expectancy,Unemployment_Rate
IN-AP,53.9,308,67.4,993,2200,33.5,9.2,29,0.650,70.3,5.8
IN-AR,1.5,17,65.4,938,1850,22.9,23.4,29,0.661,69.6,6.9
IN-AS,35.6,398,72.2,958,1550,14.1,31.9,36,0.614,66.5,6.1
IN-BR,124.8,1106,61.8,918,950,11.3,33.7,32,0.576,65.8,7.2
IN-CT,29.4,189,70.3,991,1500,23.2,29.6,37,0.613,65.3,6.4
IN-GA,1.5,394,88.7,973,5800,62.2,5.1,8,0.774,73.2,5.2
IN-GJ,69.8,308,78.0,919,3200,42.6,16.6,23,0.672,69.7,3.2
IN-HR,28.2,573,75.6,879,3800,34.9,11.2,28,0.704,70.4,6.1
IN-HP,7.3,123,82.8,972,3200,10.0,8.1,25,0.725,71.6,5.3
IN-JH,37.4,414,66.4,948,1600,24.1,36.9,29,0.599,66.2,7.3
IN-KA,66.1,319,75.4,973,3100,38.6,20.9,21,0.682,69.8,4.8
IN-KL,35.1,860,94.0,1084,3400,47.7,7.1,10,0.782,74.0,7.4
IN-MP,82.6,236,69.3,931,1700,27.6,31.6,43,0.606,64.2,6.3
IN-MH,123.1,365,82.3,929,3400,45.2,17.4,19,0.696,72.2,4.9
IN-MN,3.2,123,79.2,985,1680,30.2,28.9,22,0.696,70.8,6.1
IN-ML,3.3,132,74.4,989,2000,20.1,18.1,33,0.656,66.7,5.3
IN-MZ,1.2,52,91.3,976,2100,52.1,11.2,21,0.705,68.9,5.1
IN-NL,2.2,119,79.6,931,1900,28.9,18.9,18,0.678,67.2,6.8
IN-OR,44.0,270,72.9,979,2000,16.7,32.6,35,0.606,66.3,6.9
IN-PB,30.1,551,75.8,895,3000,37.5,8.3,21,0.723,71.4,6.0
IN-RJ,78.2,200,66.1,928,2100,24.9,14.7,37,0.629,67.7,5.8
IN-SK,0.7,86,81.4,890,3600,25.0,8.2,18,0.716,70.2,5.2
IN-TN,76.5,555,80.1,996,3100,48.4,11.3,17,0.709,71.8,5.1
IN-TG,37.2,312,72.8,988,3000,38.9,9.2,27,0.669,69.4,5.9
IN-TR,4.0,350,87.2,960,2000,26.2,14.1,23,0.663,68.9,5.6
IN-UP,235.7,828,67.7,912,1200,22.3,29.4,43,0.596,64.1,6.4
IN-UT,10.1,189,78.8,963,2800,30.2,8.0,31,0.684,70.6,5.1
IN-WB,97.7,1029,76.3,950,2000,31.9,19.9,22,0.641,69.5,6.5
IN-DL,19.8,11320,86.2,868,5600,97.5,8.0,13,0.746,73.4,5.3
IN-CH,1.2,9258,86.0,818,4800,97.2,12.4,16,0.743,72.8,5.0
IN-JK,13.6,300,67.2,889,1500,27.2,10.4,23,0.666,68.1,6.7
IN-LA,0.3,5,68.5,863,1200,10.0,12.3,20,0.650,67.0,6.5
IN-LD,0.07,2013,91.8,946,3500,78.1,2.8,14,0.751,73.0,4.8
IN-DH,0.6,1173,76.2,774,2800,52.0,8.4,15,0.662,69.1,4.5
IN-AN,0.4,46,86.6,876,2400,35.7,1.1,15,0.739,72.5,4.2
IN-PY,1.4,2598,85.8,1037,3000,68.3,1.7,11,0.750,73.1,4.6
